'4f7db57,jhonmarcod95,2018-10-23 12:08:42 +0800,TSR and Customer Master Data Enhancement'
'ce7d4e8,devy.viray,2018-10-22 18:13:20 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'a40bfe0,devy.viray,2018-10-22 18:12:42 +0800,Merge branch 'AttendanceReport''
'cd681b4,devy.viray,2018-10-22 18:11:41 +0800,Generate rendered hours of duty(Attendance Report) / Delete function(Customers Module)'
'5c49b03,jhonmarcod95,2018-10-22 17:51:50 +0800,Schedule Description Display'
'58ec5f0,jhonmarcod95,2018-10-22 16:08:50 +0800,Logo Update'
'a408327,devy.viray,2018-10-22 16:06:09 +0800,Merge branch 'AttendanceReport''
'92c802d,devy.viray,2018-10-22 15:59:04 +0800,Attendance report(Interface,Search, Displaying)'
'1084a2d,jhonmarcod95,2018-10-22 15:03:55 +0800,Merge remote-tracking branch 'origin/master''
'5bd408e,jhonmarcod95,2018-10-22 15:03:28 +0800,Schedule Update Controls'
'5617d4b,Terrence Tejada,2018-10-22 13:51:31 +0800,Add fix to api resources'
'3e03550,Terrence Tejada,2018-10-22 13:50:31 +0800,Format user first name in API link'
'7422bea,Terrence Tejada,2018-10-22 10:42:57 +0800,Fix header to nginx'
'75ce381,Terrence Tejada,2018-10-22 10:16:38 +0800,Add user api to app'
'689e1d6,Terrence Tejada,2018-10-21 18:43:01 +0800,Added conflict file'
'261ef5f,Terrence Tejada,2018-10-21 18:32:34 +0800,Fix merge conflict on API controller'
'0b532f9,Terrence Tejada,2018-10-21 18:29:17 +0800,Add current customer, sign-in and sing-out module'
'7e44b1a,Terrence Tejada,2018-10-21 10:03:29 +0800,Merge branch 'ExpensesEntries''
'b46acce,Terrence Tejada,2018-10-21 10:02:44 +0800,Add Expenses Entries & Details'
'1e58c7f,devy.viray,2018-10-19 18:40:32 +0800,Auto generated customer code for 'prospect' customer'
'6e02907,Terrence Tejada,2018-10-19 16:37:11 +0800,Rename attendance table name'
'1473ae3,Terrence Tejada,2018-10-19 16:04:20 +0800,Attendance initial setup'
'9b6356b,Terrence Tejada,2018-10-19 15:27:28 +0800,Expenses Entries added'
'5afef3b,devy.viray,2018-10-19 13:59:19 +0800,Change password module'
'b3ff36c,devy.viray,2018-10-19 11:48:18 +0800,Merge branch 'ChatEngine''
'7e7abe1,devy.viray,2018-10-19 11:20:39 +0800,Real time chat using laravel pusher and echo'
'5225406,Terrence Tejada,2018-10-18 16:00:36 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'943c6d1,Terrence Tejada,2018-10-18 16:00:27 +0800,Expense file upload complete'
'f462d66,devy.viray,2018-10-17 10:54:53 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'e8b86b8,devy.viray,2018-10-17 09:38:11 +0800,Chat interface, fetching message, Allow to reply'
'cc2b102,jhonmarcod95,2018-10-15 19:15:02 +0800,Remarks Length'
'faf2af2,jhonmarcod95,2018-10-15 19:05:09 +0800,Schedule max text length fixed. and date display in modal'
'4bb9404,devy.viray,2018-10-15 13:05:24 +0800,Announement Module(Crud, Pagination and search)'
'acf6e51,jhonmarcod95,2018-10-15 10:00:32 +0800,Event & Mapping Validation (update)'
'2c3ebd3,jhonmarcod95,2018-10-15 09:57:40 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'49ec1c5,jhonmarcod95,2018-10-15 09:53:51 +0800,Event & Mapping Validation'
'cd4b77c,Terrence Tejada,2018-10-15 09:26:28 +0800,Accept schedule merge conflict'
'1249a04,Terrence Tejada,2018-10-15 09:23:15 +0800,Fix schedule merge conflict'
'29ba09b,Terrence Tejada,2018-10-15 09:20:30 +0800,Working with schedule API'
'4cd246f,jhonmarcod95,2018-10-14 23:09:46 +0800,Schedule Updates and Major Fixes'
'0f80ac0,jhonmarcod95,2018-10-12 18:31:31 +0800,Scheduling Updates and fixes'
'5813278,devy.viray,2018-10-12 17:58:58 +0800,Temporary code for adding of user'
'9fea99d,devy.viray,2018-10-12 16:19:12 +0800,Class for error message / Re-layout search box'
'5343d89,devy.viray,2018-10-12 14:59:08 +0800,Insert also in users table upon adding of TSR / Validation for customer code'
'a94cf08,devy.viray,2018-10-12 13:03:26 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'5130062,devy.viray,2018-10-12 13:02:20 +0800,Add all.js'
'ab63ff7,devy.viray,2018-10-12 12:59:34 +0800,Implement roles in the project'
'0e459b7,Terrence Tejada,2018-10-12 09:50:10 +0800,Fix merge conflict for user'
'a192d36,Terrence Tejada,2018-10-12 09:41:08 +0800,Merge branch 'AuthAPI''
'63a64b1,Terrence Tejada,2018-10-12 09:38:57 +0800,Add expenses transction'
'cf08214,devy.viray,2018-10-12 08:51:14 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'0914da2,devy.viray,2018-10-12 08:51:04 +0800,Tsr validation'
'15223ba,jhonmarcod95,2018-10-11 16:50:41 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'e8b0a6b,jhonmarcod95,2018-10-11 16:50:30 +0800,Schedule Customer Search Fixe'
'1a52003,jhonmarcod95,2018-10-11 16:48:30 +0800,Merge branch 'ScheduleBranch''
'111aab7,devy.viray,2018-10-11 16:26:06 +0800,Sorting dropdown data by name asc'
'7511a59,jhonmarcod95,2018-10-11 12:53:54 +0800,Schedule Rule'
'4f89cf7,devy.viray,2018-10-11 12:33:28 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'54e4d0a,devy.viray,2018-10-11 12:29:04 +0800,Dropdown for customer classification / Remove 'group' field in adding of customer'
'856359d,jhonmarcod95,2018-10-11 11:58:46 +0800,Merge Activities'
'73b25f4,jhonmarcod95,2018-10-11 11:09:33 +0800,Merge branch 'ScheduleBranch''
'64fe10d,jhonmarcod95,2018-10-11 11:08:28 +0800,Schedule Update'
'acd6fa9,devy.viray,2018-10-11 11:01:34 +0800,Pagination for customers,tsr and user / Update and deleting of user'
'b7997c5,Terrence Tejada,2018-10-11 10:16:37 +0800,Add Auth API connection'
'8e0ac4f,jhonmarcod95,2018-10-11 08:06:44 +0800,Calendar Schedule Fixed'
'4508b5c,devy.viray,2018-10-10 18:12:47 +0800,Users Module (Displaying, adding, Search)'
'84b08a3,devy.viray,2018-10-10 17:25:58 +0800,TSR module(Displaying, Adding, Editing)'
'1b77257,devy.viray,2018-10-10 14:07:58 +0800,Convert costumer module to vue js'
'845029e,devy.viray,2018-10-09 18:27:20 +0800,Initialize vue js to the project. CRUD for customers module'
'ba23b65,jhonmarcod95,2018-10-08 18:08:36 +0800,Initialize'
